,C1,C2,C5,C9,C10,C11
best,0.0002711259883163,5.580849240658087e-09,5.755862453327154e-09,1.98991811418658,18.72202829045,28.52979112486992
worst,0.3646065482758552,7.521812938856813e-05,202.93993022182232,15.91932980003542,1080.3836588414497,1057.1755487685464
mean,0.02784931660637894,1.0820681840830466e-05,165.32969402334874,6.574531419950715,288.20746755332493,371.0139872315343
median,0.0061932595167017,4.168154211992559e-06,202.07488392054583,5.969754342559741,207.75498145160464,301.775320298028
std,0.06208237758511773,1.7574686012624692e-05,76.23740074957122,3.1278959530220796,268.35177335691924,248.3773230982762
